date,station,mean
26/6/2016,48324,1007.62
27/6/2016,48324,1005.8
28/6/2016,48324,1004.78
29/6/2016,48324,1005.77
30/6/2016,48324,1005.49
1/7/2016,48324,1005.49
2/7/2016,48324,1007.52
3/7/2016,48324,1008.89
4/7/2016,48324,1007.45
5/7/2016,48324,1006.43
6/7/2016,48324,1005
7/7/2016,48324,1004.08
8/7/2016,48324,1004.28
9/7/2016,48324,1004.68
10/7/2016,48324,1004.38
11/7/2016,48324,1004.87
12/7/2016,48324,1005.29
13/7/2016,48324,1004.24
14/7/2016,48324,1004.45
15/7/2016,48324,1006.34
16/7/2016,48324,1008.66
17/7/2016,48324,1008.68
18/7/2016,48324,1006.3
19/7/2016,48324,1005.5
20/7/2016,48324,1006.62
21/7/2016,48324,1008.88
22/7/2016,48324,1009.52
23/7/2016,48324,1009.94
24/7/2016,48324,1009.35
25/7/2016,48324,1009.25
26/7/2016,48324,1007.25
27/7/2016,48324,1005.81
28/7/2016,48324,1004.87
29/7/2016,48324,1005.83
30/7/2016,48324,1007.14
31/7/2016,48324,1007.72
1/8/2016,48324,1005.84
2/8/2016,48324,1003.75
3/8/2016,48324,1002.95
4/8/2016,48324,1004.27
5/8/2016,48324,1006.65
6/8/2016,48324,1006.72
7/8/2016,48324,1005.73
8/8/2016,48324,1005.92
9/8/2016,48324,1005.63
10/8/2016,48324,1005.89
11/8/2016,48324,1005.11
12/8/2016,48324,1004.08
13/8/2016,48324,1003.53
14/8/2016,48324,1001.62
15/8/2016,48324,1001.85
16/8/2016,48324,1003.12
17/8/2016,48324,1004.33
18/8/2016,48324,1002.51
19/8/2016,48324,1000.53
20/8/2016,48324,1002.11
21/8/2016,48324,1006.14
22/8/2016,48324,1004.81
23/8/2016,48324,1004.07
24/8/2016,48324,1003.14
25/8/2016,48324,1004.82
26/8/2016,48324,1006.39
27/8/2016,48324,1008.1
28/8/2016,48324,1007.91
29/8/2016,48324,1006.08
30/8/2016,48324,1006.79
31/8/2016,48324,1008.34
1/9/2016,48324,1007.54
2/9/2016,48324,1005.78
3/9/2016,48324,1006.13
4/9/2016,48324,1007.33
5/9/2016,48324,1006.5
6/9/2016,48324,1006.04
7/9/2016,48324,1005.99
8/9/2016,48324,1007.15
9/9/2016,48324,1008.05
10/9/2016,48324,1006.42
11/9/2016,48324,1006.01
12/9/2016,48324,1007.05
13/9/2016,48324,1007.29
14/9/2016,48324,1006.7
15/9/2016,48324,1006.86
16/9/2016,48324,1006.36
17/9/2016,48324,1005.97
18/9/2016,48324,1007.5
19/9/2016,48324,1006.7
20/9/2016,48324,1007.97
21/9/2016,48324,1010.87
22/9/2016,48324,1009.92
23/9/2016,48324,1007.59
24/9/2016,48324,1006.43
25/9/2016,48324,1007.11
26/9/2016,48324,1007.85
27/9/2016,48324,1007.7
28/9/2016,48324,1006.5
29/9/2016,48324,1006.15
30/9/2016,48324,1006.38
1/10/2016,48324,1008.2
2/10/2016,48324,1008.59
3/10/2016,48324,1007.52
4/10/2016,48324,1007.03
5/10/2016,48324,1006.81
6/10/2016,48324,1008.05
7/10/2016,48324,1008.7
8/10/2016,48324,1009.3
9/10/2016,48324,1008.34
10/10/2016,48324,1007.79
11/10/2016,48324,1007.52
12/10/2016,48324,1008.33
13/10/2016,48324,1008.35
14/10/2016,48324,1007.85
15/10/2016,48324,1007.56
16/10/2016,48324,1008.78
17/10/2016,48324,1008.07
18/10/2016,48324,1006.84
19/10/2016,48324,1005.45
20/10/2016,48324,1005.03
21/10/2016,48324,1005.93
22/10/2016,48324,1007.15
23/10/2016,48324,1007
24/10/2016,48324,1006.68
25/10/2016,48324,1008.32
26/10/2016,48324,1011.05
27/10/2016,48324,1012.81
28/10/2016,48324,1011.75
29/10/2016,48324,1012.18
30/10/2016,48324,1013.09
31/10/2016,48324,1013.4
1/11/2016,48324,1012.62
2/11/2016,48324,1013.59
3/11/2016,48324,1013.96
4/11/2016,48324,1012.07
5/11/2016,48324,1009.47
6/11/2016,48324,1009.47
7/11/2016,48324,1010.51
8/11/2016,48324,1011.21
9/11/2016,48324,1012.35
10/11/2016,48324,1013.01
11/11/2016,48324,1013.54
12/11/2016,48324,1013.31
13/11/2016,48324,1012.74
14/11/2016,48324,1011.51
15/11/2016,48324,1011.77
16/11/2016,48324,1012.32
17/11/2016,48324,1012.16
18/11/2016,48324,1010.54
19/11/2016,48324,1009.7
20/11/2016,48324,1009.97
21/11/2016,48324,1009.98
22/11/2016,48324,1010.25
23/11/2016,48324,1011.08
24/11/2016,48324,1010.76
25/11/2016,48324,1009.44
26/11/2016,48324,1009.9
27/11/2016,48324,1011
28/11/2016,48324,1012.61
29/11/2016,48324,1014.52
30/11/2016,48324,1015.96
1/12/2016,48324,1016
2/12/2016,48324,1016.01
3/12/2016,48324,1015.62
4/12/2016,48324,1014.41
5/12/2016,48324,1013.41
6/12/2016,48324,1015.06
7/12/2016,48324,1014.17
8/12/2016,48324,1012.82
9/12/2016,48324,1011.27
10/12/2016,48324,1011.42
11/12/2016,48324,1011.75
12/12/2016,48324,1011.02
13/12/2016,48324,1010.48
14/12/2016,48324,1011.62
15/12/2016,48324,1013.13
16/12/2016,48324,1015.88
17/12/2016,48324,1016.36
18/12/2016,48324,1015.83
19/12/2016,48324,1013.5
20/12/2016,48324,1011.91
21/12/2016,48324,1011.94
22/12/2016,48324,1012.28
23/12/2016,48324,1012.06
24/12/2016,48324,1012.1
25/12/2016,48324,1012.25
26/12/2016,48324,1011.9
27/12/2016,48324,1012.83
28/12/2016,48324,1014.04
29/12/2016,48324,1016.03
30/12/2016,48324,1017.19
31/12/2016,48324,1016.39
1/1/2017,48324,1016.76
2/1/2017,48324,1015.25
3/1/2017,48324,1013.47
4/1/2017,48324,1012.66
5/1/2017,48324,1014.08
6/1/2017,48324,1012.37
7/1/2017,48324,1010.59
8/1/2017,48324,1009.91
9/1/2017,48324,1010.02
10/1/2017,48324,1010.26
11/1/2017,48324,1010.02
12/1/2017,48324,1008.72
13/1/2017,48324,1009.01
14/1/2017,48324,1010.52
15/1/2017,48324,1012.48
16/1/2017,48324,1011.85
17/1/2017,48324,1012.58
18/1/2017,48324,1014.53
19/1/2017,48324,1014.03
20/1/2017,48324,1013.66
21/1/2017,48324,1015.76
22/1/2017,48324,1017.15
23/1/2017,48324,1017.13
24/1/2017,48324,1017.16
25/1/2017,48324,1017.86
26/1/2017,48324,1016.73
27/1/2017,48324,1014.82
28/1/2017,48324,1013.05
29/1/2017,48324,1012.27
30/1/2017,48324,1012.09
31/1/2017,48324,1012.57
1/2/2017,48324,1013.96
2/2/2017,48324,1014.21
3/2/2017,48324,1012.65
4/2/2017,48324,1012.11
5/2/2017,48324,1011.51
6/2/2017,48324,1009.91
7/2/2017,48324,1009.87
8/2/2017,48324,1010.57
9/2/2017,48324,1010.52
10/2/2017,48324,1011.81
11/2/2017,48324,1014.35
12/2/2017,48324,1017.14
13/2/2017,48324,1018.61
14/2/2017,48324,1019.23
15/2/2017,48324,1018.43
16/2/2017,48324,1016.23
17/2/2017,48324,1014.77
18/2/2017,48324,1014.96
19/2/2017,48324,1012.31
20/2/2017,48324,1008.95
21/2/2017,48324,1010.21
22/2/2017,48324,1010.82
23/2/2017,48324,1011.16
24/2/2017,48324,1010.78
25/2/2017,48324,1009.88
26/2/2017,48324,1009.62
27/2/2017,48324,1011.33
28/2/2017,48324,1011.42
1/3/2017,48324,1010.83
2/3/2017,48324,1010.76
3/3/2017,48324,1008.88
4/3/2017,48324,1007.51
5/3/2017,48324,1007.64
